"model","enzyme","Rsquared","AIC","BIC"
"Hinshelwood",37,0.374754297079723,8.5587235001475,8.95593120854668
"Hinshelwood",40,0.478514548137331,15.6915241343779,16.0887318427771
"Hinshelwood",49,0.346485065602493,15.7482267725633,16.1454344809625
"Hinshelwood",220,0.828227422327348,2.98009474471348,1.02728430688398
"Hinshelwood",221,0.783340745039948,-1.87752862232296,-3.83033906015245
"Hinshelwood",235,0.714063391487224,0.004511400679311,-1.03669125318041
"Hinshelwood",236,0.883939500401981,0.806070674228689,-0.235131979631037
"Hinshelwood",303,0.819306713738457,-18.5168032446022,-12.8393321649565
"Hinshelwood",306,0.192648634537089,19.6986031957884,18.6574005419287
"Hinshelwood",424,0.826802946531991,-12.3698834096586,-10.3804070456667
"Hinshelwood",428,0.384567880116264,16.9241748193639,19.3487080683039
"Hinshelwood",431,0.936930247991125,-13.8192378079463,-10.9944910206386
"Hinshelwood",433,0.878183660108408,-3.07591052354022,-0.25116373623254
"Hinshelwood",434,0.77286638233602,8.61061652210304,11.4353633094107
"Hinshelwood",447,0.00244383253717484,20.8083614916574,19.7671588377976
"Hinshelwood",448,0.414617882731893,9.10598733626288,8.06478468240315
"Hinshelwood",450,0.229011800951148,12.7752372591001,11.7340346052403
"Hinshelwood",455,-1.1521469436282e-06,17.8431920810849,16.8019894272252
"Hinshelwood",456,0.122084022730295,14.2177123936907,13.1765097398309
"Hinshelwood",484,-0.646745208081265,29.565629524853,27.6128190870235
"Hinshelwood",599,0.870237179999376,1.40861042095596,0.367407767096237
"Hinshelwood",600,0.288527389407591,5.46545638249888,4.42425372863915
"Hinshelwood",609,0.498403760400572,13.62406515781,12.5828625039502
"Hinshelwood",611,0.865943419838147,0.17859878093169,-0.862603872928036
"Hinshelwood",613,0.958783135293991,-6.84586471243318,-7.88706736629291
"Hinshelwood",614,0.476464336372788,8.33681784658785,7.29561519272812
"Hinshelwood",641,0.897531634224012,-0.620256257326226,-1.66145891118595
"Hinshelwood",838,0.334644130367131,18.7952499171888,17.7540472633291
"Hinshelwood",841,0.330188554579073,14.3315340173146,13.2903313634548
"Johnson-Lewin",5,0.944136292250517,-16.1862799637168,-13.7617467147768
